Store Number,Store Name,County Number
4767,Casey's General Store #3075 / Ankeny,77
3899,Wal-Mart 3762 / WDM,77
4495,Casey's General Store #3055 / Grundy,38
5142,Smokin' Joe's #13 Tobacco & Liquor O,57
4623,Casey's General Store #1493 / Van Me,25
3987,Wine and Spirits Shoppe Of,55
2535,Hy-Vee Food Store #1 / WDM,77
4171,"Brothers Market, Inc. / Cascade",31
4112,Corridor Ventures,52
2606,Hy-Vee Wine and Spirits / Humboldt,46
3162,Nash Finch / Wholesale Food,70
4190,Fareway Stores #888 / Jefferson,37
3591,Ackley Super Foods,94
4650,Loofts on 9 Liquor Here or Liquor Th,55
4615,North Side Liquor & Grocery,17
2663,Hy-Vee / Urbandale,77
4686,Sunny's Mart / Clinton,23
3972,Hometown Foods / Hubbard,42
2544,Hy-Vee Food Store / Marshalltown,64
4214,New Star Liquor / Lafayet / Waterloo,7
2835,CVS Pharmacy #8538 / Cedar Falls,7
3816,Swils,69
2620,Hy-Vee / Windsor Heights,77
2599,Hy-Vee Wine and Spirits / Coralville,52
4223,STATION MART LIQUOR AND TOBACCO,7
3778,Family Pantry,77
2592,Hy-Vee Drugstore / Marshalltown,64
4176,Todds On The Go,57
3928,Smokin' Joe's #12 Tobacco and Liquor,52
2655,Hy-Vee Food Store / Clarinda,73
4070,Grieder Beverage Depot,6
5045,Central Mart / Hamilton Blvd,97
4152,Food Land Super Markets / Missouri V,43
3789,Wal-Mart 1393 / Oskaloosa,62
4030,Buy Rite Foods,30
4332,Fast Mart / University Ave,77
2132,Spirits and Such,33
3443,Super Saver Iv,78
5102,Wilkie Liquors,57
4752,Gasland / Burlington,29
3885,Buchanan County Liquor Store,10
3968,Monroe Liquor,50
2571,Hy-Vee Food Store #2 / Waterloo,7
3514,Karen's Spirits and Wine,94
3808,Thriftway,7
2554,Hy-Vee Food Store / Davenport,82
3947,Seaton's Flag Foods,79
2641,Hy-Vee Drugstore / Council Bluffs,78
4971,Fareway Stores #138 / Pleasant Hill,77
4545,FILL R UP,78
5131,Oasis,77
4927,Kum & Go #576 / West Des Moines,77
4071,Kellogg Country Store,50
2248,Ingersoll Liquor and Beverage,77
4443,Palo Mini Mart,57
4405,KUM & GO #92 / ANKENY,77
4192,Fareway Stores #044 / Bettendorf,82
3896,Smokin' Joe's #18 Tobacco and Liquor,52
2528,Hy-Vee Food Store #3 / Des Moines,77
2534,Hy-Vee Drugtown / Urbandale,77
2552,Hy-Vee Food Store #3 / Cedar Rapids,57
2529,Hy-Vee Drugstore #4 / Cedar Rapids,57
4629,Kwik Shop #541 / Glenwood,65
4273,Smokin' Joe's #4 Tobacco and Liquor,77
3879,Target Store T-1800 / Sioux City,97
4969,Lake Liquors Wine and Spirits,17
3573,Quik Shop Foods / Four M In,90
3700,Avoca Liquor,78
4601,Kum & Go #4110 / Guthrie DM,77
4078,Prime Mart 4,7
4164,Expo Mart / Bettendorf,82
4346,Roy's Foodland,6
2478,Prairie Meadows,77
4675,Kum & Go #113 / Ames,85
3918,Smokin' Joe's #1 Tobacco and Liquor,82
2515,Hy-Vee Food Store #1 / Mason City,17
3678,"Smoke Shop, The",77
4939,Urban Liquor,77
2595,Hy-Vee Wine and Spirits / Denison,24
3650,"Spirits, Stogies and Stuff",47
4180,Smokin' Joe's #10 Tobacco and Liquor,57
4434,Todd's,60
3942,Twin Town Liquor,86
4093,Hiway 20 Liquors / Fort Dodge,94
2837,CVS Pharmacy #8544 / Waterloo,7
2959,Dahl's / Merle Hay,77
4304,Downtown Pantry / Des Moines,77
3654,The Beverage Shop / Belmond,99
3925,Johncy's Liquor Store Inc,48
4481,THE LIQUOR HOUSE,52
4007,Brockmans,96
3820,"Charlie's Wine and Spirits,",97
3456,Quick Shop / Clear Lake,17
4057,Tequila's Liquor Store,77
2502,Hy-Vee Wine and Spirits / Ankeny,77
4277,Cork It!,75
4826,Casey's General Store #3226 / Albia,68
3814,Costco Wholesale #788,25
2568,Hy-Vee Food Store #4 / Cedar Rapids,57
2522,Hy-Vee Wine and Spirits / Spirit Lak,30
4801,Walgreens #05852 / Des Moines,77
4253,Fareway Stores #683 / Winterset,61
4228,Fareway Stores #462 / Vinton,6
2506,Hy-Vee #1044 / Burlington,29
2130,Sycamore Convenience,7
4970,Jeff's Market / West Liberty,70
2549,Hy-Vee Food Store / Indianola,91
4555,Casey's General Store #2614 / Donnel,56
3682,Jumbo's,55
5187,Kwik Stop Liquor & Groceries Ames,85
3742,Wal-Mart 1625 / Lemars,75
2564,Hy-Vee Food Store #4 / Waterloo,7
4205,Fareway Stores #467 / Marshalltown,64
4645,Kwik Shop #589 / Eldridge,82
4444,Kum & Go #4127 / SLOAN,97
2647,Hy-Vee #7 / Cedar Rapids,57
3664,Shade Tree Liquors,98
2113,Jamboree Foods,94
3625,Wal-Mart 0892 / Ankeny,77
4006,Larchwood Offsale,60
4478,U S Gas,77
2558,Hy-Vee Food Store / Mount Pleasant,44
2536,HY-VEE / PLEASANT HILL,77
3400,Last Stop Beverage Shop,77
